Sponsor,Total Funding
National Science Foundation,68015535.33
Sony Electronics Inc,5445498.0
UT-Rio Grande,5359899.5600000005
USDA-NIFA Cooperative State Research Ed & Extension Service,4255167.9
DHHS National Institutes of Health,3739759.9
National Endowment for the Humanities,2243528.3
DOE-Office of Science,2010983.55
CUNY Graduate School of Public Health and Health Policy,1888732.0
AVX Aircraft,1766486.52
NIH - National Institute on Aging,1449061.0
The Regents of the University of California Lawrence Berkeley Natl Lab,1000724.25
"Consolidated Nuclear Security, LLC",1000000.0
Gordon and Betty Moore Foundation,1000000.0
Texas Tech University Health Sciences Center,916887.65
General Motors Corporation,849999.8
Lyda Hill Philanthropies,849916.8
University of North Texas Health Science Center,719685.0
Spencer Foundation,659999.45
The Camille and Henry Dreyfus Foundation,600000.0
American Public Health Association,595070.0
NIH - National Institute on Drug Abuse,595070.0
USDA - Animal and Plant Health Inspection Service,569910.4
DOD Army Research Lab,513193.0
Texas Tech University Health Science Center at El Paso,508091.1
Joint Strategic Technologies,505118.5
George Washington University,499988.0
"The Concord Consortium, Inc",497703.9
Bill and Melinda Gates Foundation,480000.0
Sam Houston State University,480000.0
National Humanities Center,469925.0
"Center for Internet Security, Inc",452250.0
University of Nebraska Omaha,328437.6
University of Texas at San Antonio 743,320162.25
University of Memphis,313984.6
Vanderbilt University,299879.6
University of Florida,279720.0
United States Department of Education,248432.8
United States Agency for Intl Devpt,240000.0
Samsung Electronics Co. Ltd,199999.8
NIH - National Heart Lung and Blood Institute,199911.0
United States Department of Transportation,199216.0
DOD - Defense Advanced Research Projects Agency,187492.0
United States Department of State,157865.25
Arizona State University,154137.0
NIH - National Institute of Neurological Disorders,142875.0
National Aeronautics and Space Administration,139906.2
United States Department of Defense,133333.25
CDC National Institute of Occupational Safety and Health,131327.79
DOC Economic Development Administration,125579.0
USDA - Natural Resources Conservation Service,124461.0
United States Department of Energy,119999.9
Space Telescope Science Institute,111250.0
Cancer Prevention and Research Institute of Texas (CPRIT),99000.0
Florida International University,75000.0
"Welch Foundation, The Robert A",74999.9
Qatar University,74906.0
"Vivonics, Inc",72000.0
DOD - Office of Naval Research,70454.3
NIH - National Library of Medicine,61210.1
United States Department of Homeland Security,59999.0
Kent State University,50000.0
Facebook,50000.0
New Mexico State University,50000.0
NIH - National Center for Research Resources,43089.0
TConneX Inc,35000.0
Oak Ridge Associated Universities Inc,17256.72
Case Western Reserve University,14200.0
Google Inc,12499.75
Verus Research,6000.0
University of Hertfordshire,1.0
